track,name,leverage,window,tc_bps,geo_monthly,mean_monthly,sharpe,max_drawdown,calmar,turnover_ann,source,drag_meas_mo,drag_pred_mo,drag_dev_ratio,drag_flag_gt30pct
candidate_x,ASM_Bst_BTF1,2.0,dev,5.0,0.03223579969467316,0.0396387689374691,1.1631679964965145,-0.4209709113631878,1.100660212387094,20.839147757262182,"results/v7/trials/ASM_rescore600.csv name=ASM_Bst_BTF1 (tc=5, margin=600)",,,,
candidate_x,ASM_Bst_BTF1,2.0,dev,25.0,0.02863828855528361,0.03606889386641156,1.056178858803208,-0.4331568532358505,0.9310842153819292,20.839147757262182,"results/v7/trials/tc_recal.csv name=ASM_Bst_BTF1_tc25 window=dev (tier_loop_cc, margin replicated post-loop)",0.003597511139389553,0.003473191292877031,0.03579412592893538,
candidate_x,ASM_Bst_BTF1,2.0,dev,30.0,0.027739860025947083,0.0351781657993131,1.0294074644019762,-0.43752702200755056,0.8883289816199532,20.839147757262182,"results/v7/trials/tc_recal.csv name=ASM_Bst_BTF1_tc30 window=dev (tier_loop_cc, margin replicated post-loop)",0.004495939668726079,0.004341489116096288,0.035575478482062106,
candidate_x,ASM_Bst_BTF1,2.0,dev,50.0,0.024149939656920694,0.031622192081302805,0.9222917251538082,-0.46849498332785977,0.7077246994700644,20.839147757262182,"results/v7/trials/tc_recal.csv name=ASM_Bst_BTF1_tc50 window=dev (tier_loop_cc, margin replicated post-loop)",0.008085860037752468,0.007814680408973318,0.03470130761429013,
champion,combo_v2_2x,2.0,2019on,5.0,0.044376604679711384,0.05557466692734925,1.1531419011403654,-0.6032436999238026,1.1335071348260617,16.667325416566634,"derived: tc5 gate re-render (asserted == trials/pit.csv combo_v2_baseline_2x full), equity sliced >=2019-01-01",,,,
champion,combo_v2_1x,1.0,full,5.0,0.025136856689303544,0.0282316389509397,1.149784286062831,-0.3485668163628714,0.995634710724612,8.21395417831691,results/v7/trials/pit.csv name=combo_v2_baseline_1x window=full,,,,
champion,combo_v2_1x,1.0,dev,5.0,0.021322798546151045,0.0240731992604628,1.0346825833384643,-0.3485668163628714,0.8265846705752593,7.585391148792473,results/v7/trials/pit.csv name=combo_v2_baseline_1x window=dev,,,,
champion,combo_v2_1.5x,1.5,full,5.0,0.033089820338426446,0.0400131028068448,1.1001932007150466,-0.4869847379641623,0.9814283398375024,12.320931267475368,results/v7/trials/pit.csv name=combo_v2_baseline_1.5x window=full,,,,
champion,combo_v2_1.5x,1.5,dev,5.0,0.027769644121994785,0.0338374341416879,0.9870387923111994,-0.4869847379641623,0.799102942774958,11.37808672318871,results/v7/trials/pit.csv name=combo_v2_baseline_1.5x window=dev,,,,
champion,combo_v2_2x,2.0,full,5.0,0.03681528198685324,0.048026519677106,1.0564821513903304,-0.6032436999238027,0.9004326525021653,15.11597077201206,results/v7/trials/pit.csv name=combo_v2_baseline_2x window=full,,,,
champion,combo_v2_2x,2.0,dev,5.0,0.031533489627785016,0.041681483826966,0.9630570299844884,-0.6032436999238027,0.7483592574939588,14.141159725477891,results/v7/trials/pit.csv name=combo_v2_baseline_2x window=dev,,,,
champion,combo_v2_2x,2.0,full,25.0,0.03421711077344347,0.045377152906131944,1.003091227000134,-0.6044803037940006,0.822871544337031,15.115970772012059,results/v7/trials/tc_recal.csv name=combo_v2_2x_tc25 window=full,0.0025981712134097723,0.00251932846200201,0.03129514574892278,
champion,combo_v2_2x,2.0,2019on,25.0,0.04148812224000742,0.05266267076184788,1.0997712382764047,-0.6044803037940006,1.0401337289298624,16.667325416566634,derived: tc_recal.csv combo_v2_2x_tc25 full equity sliced >=2019-01-01,0.0028884824397039655,0.0027778875694277724,0.03981257970745555,
champion,combo_v2_2x,2.0,dev,25.0,0.0291099397422252,0.03919459504679407,0.91093172880817,-0.6044803037940006,0.6799995486502978,14.141159725477893,results/v7/trials/tc_recal.csv name=combo_v2_2x_tc25 window=dev,0.002423549885559817,0.0023568599542463154,0.028296094213551948,
champion,combo_v2_2x,2.0,full,30.0,0.03356745498222491,0.04471487981650568,0.9897024547086926,-0.6047894547615499,0.8038519258280629,15.115970772012059,results/v7/trials/tc_recal.csv name=combo_v2_2x_tc30 window=full,0.003247827004628334,0.003149160577502512,0.031331024473852276,
champion,combo_v2_2x,2.0,2019on,30.0,0.040765960883930585,0.05193467172047255,1.0863903221434772,-0.6047894547615499,1.0172790078957412,16.667325416566634,derived: tc_recal.csv combo_v2_2x_tc30 full equity sliced >=2019-01-01,0.003610643795780799,0.0034723594617847155,0.03982431413509491,
champion,combo_v2_2x,2.0,dev,30.0,0.028503914866736313,0.03857297489888793,0.8978628024908196,-0.6047894547615499,0.66321804427647,14.141159725477893,results/v7/trials/tc_recal.csv name=combo_v2_2x_tc30 window=dev,0.0030295747610487034,0.002946074942807894,0.0283427339296487,
champion,combo_v2_2x,2.0,full,50.0,0.03096837807235553,0.042066061870469566,0.9360023021087247,-0.6120238541803216,0.7220794799430033,15.115970772012059,results/v7/trials/tc_recal.csv name=combo_v2_2x_tc50 window=full,0.005846903914497714,0.005668489039504522,0.031474855777226196,
champion,combo_v2_2x,2.0,2019on,50.0,0.037877151389122066,0.04902267555497116,1.0327313145845989,-0.6060260586317475,0.9277706132800049,16.667325416566634,derived: tc_recal.csv combo_v2_2x_tc50 full equity sliced >=2019-01-01,0.006499453290589319,0.006250247031212487,0.03987142558243617,
champion,combo_v2_2x,2.0,dev,50.0,0.026079263698405963,0.03608690249581111,0.8454552333512801,-0.6120238541803216,0.5914485646896345,14.141159725477893,results/v7/trials/tc_recal.csv name=combo_v2_2x_tc50 window=dev,0.005454225929379053,0.005302934897054209,0.02852967936847306,
champion,combo_v2_1.5x,1.5,full,25.0,0.030979240940706143,0.03786753794490056,1.0453521925356404,-0.48816991712994384,0.9056522683908068,12.320931267475368,results/v7/trials/tc_recal.csv name=combo_v2_1.5x_tc25 window=full,0.0021105793977203025,0.002053488544579228,0.027801885377827906,
champion,combo_v2_1.5x,1.5,dev,25.0,0.02582620128207158,0.03185228291126572,0.9337556070318863,-0.48816991712994384,0.7332594853646741,11.37808672318871,results/v7/trials/tc_recal.csv name=combo_v2_1.5x_tc25 window=dev,0.001943442839923204,0.0018963477871981186,0.024834607366335915,
champion,combo_v2_1.5x,1.5,full,30.0,0.030451510683543237,0.03733119263540984,1.0315956529701062,-0.48846621192138895,0.8870192892241249,12.320931267475368,results/v7/trials/tc_recal.csv name=combo_v2_1.5x_tc30 window=full,0.0026383096548832086,0.002566860680724035,0.027835158602772303,
champion,combo_v2_1.5x,1.5,dev,30.0,0.025340242513839373,0.03135606338882822,0.9203933235602015,-0.48846621192138895,0.7170521500820292,11.37808672318871,results/v7/trials/tc_recal.csv name=combo_v2_1.5x_tc30 window=dev,0.0024294016081554126,0.002370434733997648,0.02487597456788837,
